ID,place,total review,review,review_tokens,sentiment_raw,stars,sentiment,city,lat,lng,types,rating
1,Syambhunath, 46 reviews,It is at the top of valleys mountain.  Best place to get a pleasure.  I really love the place. We can see whole Kathmandu valley from there. Best to visit there once in a life. We must visit there in life to get some Best experience in life …,"['valleys', 'mountain', 'get', 'pleasure', 'really', 'love', 'whole', 'kathmandu', 'valley', 'life', 'must', 'life', 'get', 'experience', 'life']",5 stars,5,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
2,Syambhunath, 132 reviews,This place has a significant importance in Buddhism. We visited this place after sunset but will recommend all of you to visit this place during day light. And be aware of monkeys. The complex is huge yet so beautiful and serene.,"['significant', 'importance', 'buddhism', 'visited', 'sunset', 'recommend', 'day', 'light', 'aware', 'monkeys', 'complex', 'huge', 'yet', 'serene']",5 stars,5,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
3,Syambhunath, 298 reviews,"Visited this from the other side on a rainy evening, didn't actually visit the Temple but other end, the view was great and beautiful. It's mostly crowdy, but it's obvious from what place offers, a mesmerizing view, trees, clean air and a …","['visited', 'side', 'rainy', 'evening', 'actually', 'temple', 'end', 'great', 'mostly', 'crowdy', 'obvious', 'offers', 'mesmerizing', 'trees', 'clean', 'air']",4 stars,4,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
4,Syambhunath, 247 reviews,"A beautiful temple situated in the capital with stunning vies of the city. It is such an insight into the amazing culture Nepal has to offer. There was also lots of monkeys around the temple, which provided great entertainment for the …","['temple', 'situated', 'capital', 'stunning', 'vies', 'insight', 'culture', 'offer', 'lots', 'monkeys', 'around', 'temple', 'provided', 'great', 'entertainment']",5 stars,5,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
5,Syambhunath, 69 reviews,"great, beautiful, historic & religious place..
Crowded by visitors from all around the world.
The view point will amaze you with beautiful scenic of Kathmandu city.","['great', 'historic', 'religious', '..', 'crowded', 'visitors', 'around', 'point', 'amaze', 'scenic', 'kathmandu']",5 stars,5,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
6,Syambhunath, 86 reviews,"The view is so pleased and pleasures that it touches directly to my soul...
Great place to visit and look after in Kathmandu, Nepal.
I will recommend to visit this place after 4PM. Evening 😍","['pleased', 'pleasures', 'touches', 'directly', 'soul', '...', 'great', 'look', 'kathmandu', 'recommend', '4pm', 'evening']",5 stars,5,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
7,Syambhunath, 88 reviews,"It is a must visit heritage site in kathmandu.
.
If you are staying in ktm, go early morning for a morning walk thing and wear …","['must', 'heritage', 'kathmandu', 'staying', 'ktm', 'go', 'early', 'morning', 'morning', 'walk', 'thing', 'wear']",5 stars,5,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
8,Syambhunath, 22 reviews,"The Swayambhunath Stupa is one of the crowning glories of Kathmandu Valley architecture. This perfectly proportioned monument rises through a whitewashed dome to a gilded spire, from where four iconic faces of the Buddha stare out across the valley in the cardinal directions. Best place for visit.","['swayambhunath', 'stupa', 'crowning', 'glories', 'kathmandu', 'valley', 'architecture', 'perfectly', 'proportioned', 'monument', 'rises', 'whitewashed', 'dome', 'gilded', 'spire', 'four', 'iconic', 'faces', 'buddha', 'stare', 'across', 'valley', 'cardinal', 'directions']",5 stars,5,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
9,Syambhunath, 124 reviews,It’s up there but would definitely recommend doing the mini hike. It has one of the best valley views! World recommend going around sunset.,"['would', 'definitely', 'recommend', 'mini', 'hike', 'valley', 'views', 'recommend', 'going', 'around', 'sunset']",4 stars,4,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
10,Syambhunath, 741 reviews,One of the best stupa in Kathmandu. Its located on top of mountain so that you can enjoy Kathmandu city skyline view. There are plenty of monkeys and dogs but overall they are friendly.,"['stupa', 'kathmandu', 'located', 'mountain', 'enjoy', 'kathmandu', 'skyline', 'plenty', 'monkeys', 'dogs', 'overall', 'friendly']",5 stars,5,positive,BHAGANPAU 44600,27.7148996,85.29039569999999,"tourist_attraction,place_of_worship,point_of_interest,establishment",4.6
